exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3
1,1,5,4,2,6,35,6,3,62500,Control,65,69,1,4,4,5,4,0,0,1,0,1,0,1,1,0,0,0
0,0,4,4,2,2,55,5,3,62500,Control,25,30,1,2,4,4,3,1,0,0,0,1,1,0,1,0,0,0
0,0,5,5,1,2,25,6,0,150000,Treatment 2a,50,40,1,4,4,5,5,0,0,1,0,0,0,1,0,0,1,0
0,1,4,4,5,3,35,3,2,62500,Treatment 1,100,120,1,4,4,4,4,1,0,0,0,1,0,1,0,1,0,0
0,1,4,4,6,2,35,7,1,37500,Treatment 2a,71,64,1,3,4,4,3,0,1,1,0,1,0,1,0,0,1,0
1,1,4,4,7,4,25,6,0,37500,Treatment 2b,59,86,1,4,4,4,5,0,0,1,0,0,0,1,0,0,0,1
0,1,5,5,2,3,25,6,0,62500,Treatment 2b,35,50,1,4,4,4,4,0,0,1,0,0,0,1,0,0,0,1
0,1,4,4,5,6,35,6,1,62500,Treatment 1,25,25,1,4,4,5,4,1,0,1,0,1,1,0,0,1,0,0
0,0,4,5,3,3,45,4,0,37500,Treatment 1,5,5,1,2,4,4,4,0,0,0,0,1,1,0,0,1,0,0
1,1,4,4,7,6,25,7,1,37500,Treatment 2a,109,88,1,5,4,4,4,1,0,1,0,1,0,1,0,0,1,0
1,1,3,3,6,6,35,7,2,12500,Treatment 2a,67,70,1,4,3,4,4,1,0,1,0,1,0,1,0,0,1,0
0,0,5,5,1,2,35,5,0,37500,Treatment 2a,90,125,1,4,5,4,4,0,1,0,0,0,1,0,0,0,1,0
0,0,4,4,3,2,35,7,2,87500,Control,45,60,1,2,3,4,4,0,0,1,0,1,1,0,1,0,0,0
0,0,1,1,7,7,65,3,0,62500,Treatment 2a,91,50,1,5,5,4,4,1,0,0,0,1,1,0,0,0,1,0
0,0,2,2,7,6,25,3,0,37500,Treatment 1,20,50,1,5,5,5,5,0,0,0,0,0,0,1,0,1,0,0
1,0,2,3,4,5,55,4,1,37500,Treatment 1,40,30,1,3,4,5,4,0,0,0,0,1,1,0,0,1,0,0
0,0,5,5,7,7,25,6,0,62500,Control,100,0,0,1,5,5,1,0,0,1,0,0,1,0,1,0,0,0
0,0,4,4,4,4,45,3,1,37500,Treatment 2b,45,60,1,4,5,5,4,1,0,0,0,0,0,0,0,0,0,1
1,0,4,4,2,4,25,7,1,87500,Treatment 2b,89,67,1,3,4,4,5,0,1,1,0,1,0,0,0,0,0,1
1,1,5,4,6,5,45,7,1,37500,Treatment 2b,110,110,1,4,4,4,4,0,1,1,0,1,0,1,0,0,0,1
1,1,3,3,1,1,25,6,0,87500,Control,63,64,1,3,3,3,3,0,1,1,0,0,1,1,1,0,0,0
0,0,4,4,4,5,80,5,2,37500,Treatment 2a,90,106,1,4,4,5,5,1,0,0,0,1,1,1,0,0,1,0
0,0,5,5,6,6,35,6,0,37500,Treatment 1,110,0,0,2,2,4,3,0,0,1,0,0,0,1,0,1,0,0
1,1,4,5,4,4,25,7,0,12500,Treatment 2b,93,115,1,4,2,1,4,1,1,1,0,1,0,1,0,0,0,1
0,1,2,2,4,4,45,5,0,12500,Treatment 1,100,0,0,2,3,4,4,0,0,0,0,0,0,1,0,1,0,0
0,0,2,3,5,5,65,4,0,12500,Treatment 2a,24,36,1,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0
