exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3,pol,cc,sit_w,sit_p,glob_f,glob_s,sit_sum,sit,prem_perceived,prem_actual
0,1,5,5,1,1,35,6,0,37500,Treatment 2b,60,75,1,5,5,5,5,0,0,1,0,0,0,1,0,0,0,1,-0.0734165833631315,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,15,12.5
1,0,4,4,3,3,35,5,0,37500,Treatment 2a,50,0,0,1,2,5,4,0,1,0,1,0,0,0,0,0,1,0,3.92658341663687,-0.11572814012749,-2.71641695298194,-2.39893402787342,0.853999693319896,-0.206999884532818,3,1,-50,-62.5
1,1,4,4,1,6,35,6,2,12500,Treatment 2a,105,75,1,4,4,4,4,0,0,1,0,1,0,1,0,0,1,0,4.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,5,-30,12.5
0,0,4,4,3,3,35,3,0,62500,Control,55,75,1,4,4,5,5,0,1,0,0,0,1,0,1,0,0,0,3.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,0.853999693319896,1.04281073906155,8,5,20,12.5
0,1,5,5,4,2,35,6,0,37500,Treatment 2a,61,0,0,4,4,4,4,1,0,1,0,0,1,0,0,0,1,0,3.92658341663687,0.973477884601824,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,5,-61,-62.5
0,1,5,5,1,1,35,3,0,12500,Treatment 2b,2,5,1,5,4,4,4,1,0,0,0,0,0,0,0,0,0,1,-0.0734165833631315,0.973477884601824,1.13836541932059,-0.100554120928827,-0.459845988710713,-0.206999884532818,9,6,3,-57.5
0,0,5,4,2,2,25,6,0,37500,Treatment 2b,30,50,1,5,4,4,4,1,0,1,0,1,0,1,0,0,0,1,1.92658341663687,0.428874872237167,1.13836541932059,-0.100554120928827,-0.459845988710713,-0.206999884532818,9,6,20,-12.5
1,1,3,3,3,3,35,4,0,37500,Treatment 1,70,25,1,4,4,5,3,0,0,0,0,0,0,1,0,1,0,0,3.92658341663687,-1.2049341648568,0.174669826244958,-0.100554120928827,0.853999693319896,-1.45681050812719,8,5,-45,-37.5
0,0,5,5,2,3,35,6,3,62500,Treatment 1,40,50,1,4,4,4,4,0,0,1,0,1,1,1,0,1,0,0,2.92658341663687,0.973477884601824,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,5,10,-12.5
0,0,4,4,7,6,45,5,2,37500,Treatment 2b,10,20,1,4,5,5,5,0,0,0,0,1,1,0,0,0,0,1,10.9265834166369,-0.11572814012749,0.174669826244958,1.04863583254347,0.853999693319896,1.04281073906155,9,6,10,-42.5
